Station,TicketZone,Latitude,Longitude
Acton Town,3,51.50281735,-0.280214656
Aldgate,1,51.51434282,-0.075600611
Aldgate East,1,51.51530072,-0.072274025
Alperton,4,51.54075724,-0.299447373
Amersham,9,51.67420008,-0.607416256
Angel,1,51.53257057,-0.105772295
Archway,2,51.56549578,-0.135099708
Arnos Grove,4,51.6163989,-0.133501198
Arsenal,2,51.5585615,-0.105746916
Baker Street,1,51.52313116,-0.156881847
Balham,3,51.44340406,-0.153182996
Bank,1,51.5133735,-0.088906725
Barbican,1,51.52021342,-0.097698591
Barking,4,51.53952056,0.080855743
Barkingside,4,51.58585544,0.088509189
Barons Court,2,51.49022739,-0.213576608
Bayswater,1,51.51229975,-0.188009447
Becontree,5,51.54036353,0.12740105
Belsize Park,2,51.55049384,-0.164212238
Bermondsey,2,51.49802452,-0.063635613
Bethnal Green,2,51.52726755,-0.055423847
Blackfriars,1,51.51156251,-0.103596123
Blackhorse Road,3,51.58701271,-0.040984391
Bond Street,1,51.51387906,-0.149315708
Borough,1,51.5012707,-0.093692651
Boston Manor,4,51.49576555,-0.324729543
Bounds Green,3,51.60715231,-0.124210461
Bow Road,2,51.5268669,-0.024809606
Brent Cross,3,51.57686088,-0.213428926
Brixton,2,51.46265326,-0.114611795
Bromley by Bow,2,51.52484277,-0.01165748
Buckhurst Hill,5,51.6265758,0.046733076
Burnt Oak,4,51.60273831,-0.264170829
Caledonian Road,2,51.54849133,-0.118292408
Camden Town,2,51.5394686,-0.142709548
Canada Water,2,51.4979652,-0.049695892
Canary Wharf,2,51.50362313,-0.019426407
Canning Town,3,51.51390822,0.008181999
Cannon Street,1,51.51150584,-0.090681195
Canons Park,5,51.60782068,-0.294618585
Chalfont & Latimer,8,51.6680763,-0.560477729
Chalk Farm,2,51.5441519,-0.153701577
Chancery Lane,1,51.51819437,-0.111660401
Charing Cross,1,51.50866134,-0.124733426
Chesham,9,51.70507276,-0.611158209
Chigwell,4,51.61793168,0.074523461
Chiswick Park,3,51.4943711,-0.267715593
Chorleywood,7,51.65426696,-0.518312173
Clapham Common,2,51.46180336,-0.138295129
Clapham North,2,51.46492348,-0.129515616
Clapham South,2,51.45267416,-0.14795997
Cockfosters,5,51.65174478,-0.149604351
Colindale,4,51.59535142,-0.250108975
Colliers Wood,3,51.41814951,-0.177678808
Covent Garden,1,51.51297926,-0.124146712
Croxley,7,51.6471039,-0.441669863
Dagenham East,5,51.5441871,0.165864184
Dagenham Heathway,5,51.54170121,0.147674142
Debden,6,51.64549427,0.083832469
Dollis Hill,3,51.55196946,-0.238775764
Ealing Broadway,3,51.5149791,-0.301471777
Ealing Common,3,51.5101968,-0.288221583
Earls Court,1,51.49187618,-0.193526047
East Acton,2,51.51664829,-0.247481639
East Finchley,3,51.58733501,-0.164725648
East Ham,3,51.5389967,0.051467145
East Putney,2,51.45887883,-0.210975744
Eastcote,5,51.57655322,-0.39680646
Edgware,5,51.61368485,-0.274946709
Edgware Road,1,51.52025012,-0.17010672
Elephant & Castle,1,51.49584772,-0.100711857
Elm Park,6,51.54987277,0.199159843
Embankment,1,51.50731012,-0.122340604
Epping,6,51.69368986,0.113845981
Euston,1,51.52866595,-0.133265016
Euston Square,1,51.52562663,-0.135824263
Fairlop,4,51.59574781,0.090921024
Farringdon,1,51.52051764,-0.10505032
Finchley Central,4,51.60103904,-0.19242871
Finchley Road,2,51.54713209,-0.18047382
Finsbury Park,2,51.56447095,-0.106495674
Fulham Broadway,2,51.48059868,-0.194937978
Gants Hill,4,51.5765571,0.066103646
Gloucester Road,1,51.49431275,-0.182960687
Golders Green,3,51.57228586,-0.19396566
Goldhawk Road,2,51.50202647,-0.226720989
Goodge Street,1,51.52049909,-0.134642741
Grange Hill,4,51.61340971,0.092132915
Great Portland Street,1,51.52378935,-0.14393025
Green Park,1,51.50691892,-0.142899998
Greenford,4,51.54236162,-0.34641202
Gunnersbury,3,51.49186736,-0.275147144
Hainault,4,51.60379254,0.093105998
Hammersmith,2,51.4926397,-0.222367633
Hampstead,2,51.55675484,-0.17820292
Hanger Lane,3,51.53007288,-0.292973103
Harlesden,3,51.53625519,-0.257476566
Harrow & Wealdstone,5,51.59226368,-0.335193509
Harrow on the Hill,5,51.57939273,-0.336973212
Hatton Cross,5,51.46668542,-0.423356896
Heathrow Airport Terminal 1 2 & 3,6,51.45862417,-0.446006279
Heathrow Airport Terminal 4,6,51.47129018,-0.452385526
Heathrow Airport Terminal 5,6,51.47159389,-0.487913971
Hendon Central,3,51.58335804,-0.226465843
High Barnet,5,51.65065795,-0.194737478
High Street Kensington,1,51.50074572,-0.192480691
Highbury & Islington,2,51.54630074,-0.103948483
Highgate,3,51.57765885,-0.146618543
Hillingdon,6,51.55378028,-0.44988129
Holborn,1,51.5175063,-0.119995446
Holland Park,2,51.50740459,-0.205705089
Holloway Road,2,51.55282117,-0.112913541
Hornchurch,6,51.55407287,0.218999452
Hounslow Central,4,51.47115221,-0.366881823
Hounslow East,4,51.47324113,-0.356648626
Hounslow West,5,51.47310603,-0.385684911
Hyde Park Corner,1,51.50282871,-0.152730468
Ickenham,6,51.5620464,-0.441975598
Kennington,2,51.48819371,-0.10547519
Kensal Green,2,51.5305265,-0.224683208
Kensington (Olympia),1,51.49788319,-0.210355325
Kentish Town,2,51.55036797,-0.140452418
Kenton,4,51.58184637,-0.317125399
Kew Gardens,3,51.47709778,-0.285212918
Kilburn,2,51.54694369,-0.204612104
Kilburn Park,2,51.53513992,-0.193943923
King's Cross,1,51.53046702,-0.123838556
Kingsbury,4,51.58481881,-0.278758866
Knightsbridge,1,51.50161953,-0.160476448
Ladbroke Grove,2,51.51725522,-0.210833786
Lambeth North,1,51.49913109,-0.111745717
Lancaster Gate,1,51.51189477,-0.175400817
Latimer Road,2,51.51360963,-0.217746133
Leicester Square,1,51.51129079,-0.12822255
Leyton,3,51.5565034,-0.00561874
Leytonstone,3,51.56825428,0.008223901
Liverpool Street,1,51.51742113,-0.082958757
London Bridge,1,51.50557208,-0.086907553
Loughton,6,51.64157062,0.055302636
Maida Vale,2,51.52982887,-0.185609035
Manor House,2,51.5708219,-0.095699338
Mansion House,1,51.5120941,-0.094171678
Marble Arch,1,51.51361041,-0.158415035
Marylebone,1,51.52229675,-0.163080891
Mile End,2,51.52516227,-0.033400538
Mill Hill East,4,51.60832233,-0.209873024
Monument,1,51.51063449,-0.08616071
Moor Park,6,51.62979011,-0.432617492
Moorgate,1,51.51843415,-0.088988842
Morden,4,51.40241312,-0.194767862
Mornington Crescent,2,51.53427845,-0.138821617
Neasden,3,51.5540311,-0.249760238
Newbury Park,4,51.57563951,0.090329654
North Acton,2,51.52343605,-0.25970031
North Ealing,3,51.51762475,-0.288970664
North Greenwich,2,51.50025394,0.00361738
North Harrow,5,51.58485344,-0.362187319
North Wembley,4,51.56254897,-0.304116057
Northfields,3,51.49934197,-0.314126947
Northolt,5,51.54821512,-0.368420431
Northwick Park,4,51.57865118,-0.318174443
Northwood,6,51.61121797,-0.423813419
Northwood Hills,6,51.60054928,-0.409262774
Notting Hill Gate,1,51.50913507,-0.196517879
Oakwood,5,51.64764325,-0.131828432
Old Street,1,51.52567304,-0.087540958
Osterley,4,51.48100148,-0.351955627
Oval,2,51.48217545,-0.112872504
Oxford Circus,1,51.51519833,-0.141753096
Paddington,1,51.51537887,-0.175365294
Park Royal,3,51.52696484,-0.284197489
Parsons Green,2,51.47517266,-0.201208748
Perivale,4,51.53665913,-0.323817282
Piccadilly Circus,1,51.51010128,-0.133994054
Pimlico,1,51.48926702,-0.13371586
Pinner,5,51.59292022,-0.380877555
Plaistow,3,51.53128621,0.017807961
Preston Road,4,51.5720977,-0.295226402
Putney Bridge,2,51.46797822,-0.208948328
Queens Park,2,51.53416707,-0.204675391
Queensbury,4,51.59440807,-0.285756688
Queensway,1,51.51045317,-0.187402539
Ravenscourt Park,2,51.49421127,-0.236225664
Rayners Lane,5,51.57503974,-0.370959601
Redbridge,4,51.57636834,0.045413423
Regent's Park,1,51.52357375,-0.146845189
Richmond,4,51.46323213,-0.301717924
Rickmansworth,7,51.6403275,-0.473664594
Roding Valley,4,51.61717995,0.04385609
Royal Oak,2,51.51909054,-0.188212572
Ruislip,6,51.57151189,-0.421416905
Ruislip Gardens,5,51.56065141,-0.410993312
Ruislip Manor,6,51.57324677,-0.412305976
Russell Square,1,51.52298149,-0.124290511
Seven Sisters,3,51.58341409,-0.07247832
Shepherd's Bush,2,51.50452058,-0.218739321
Sloane Square,1,51.49236161,-0.156471428
Snaresbrook,4,51.58089355,0.021492179
South Ealing,3,51.50143958,-0.306982297
South Harrow,5,51.56474276,-0.352171569
South Kensington,1,51.49407225,-0.173903021
South Kenton,4,51.57023141,-0.308554798
South Ruislip,5,51.55657581,-0.398609938
South Wimbledon,3,51.41535869,-0.191946864
South Woodford,4,51.59179344,0.027321779
Southfields,3,51.44500591,-0.206514155
Southgate,4,51.63237561,-0.127741029
Southwark,1,51.50391204,-0.105079612
St James's Park,1,51.49941708,-0.134167037
St John's Wood,2,51.5346295,-0.174155402
St Pauls',1,51.51487573,-0.097559304
Stamford Brook,2,51.49486533,-0.245421899
Stanmore,5,51.61967321,-0.303078406
Stepney Green,2,51.52197932,-0.046455251
Stockwell,2,51.47224114,-0.122895213
Stonebridge Park,3,51.54398955,-0.275371113
Stratford,3,51.54137766,-0.003185389
Sudbury Hill,4,51.55706008,-0.336185424
Sudbury Town,4,51.55084628,-0.315443563
Swiss Cottage,2,51.54338298,-0.174736507
Temple,1,51.51104185,-0.113692896
Theydon Bois,6,51.67177323,0.103118143
Tooting Bec,3,51.43583612,-0.159677894
Tooting Broadway,3,51.42751601,-0.167954323
Tottenham Court Road,1,51.51627608,-0.13085605
Tottenham Hale,3,51.58811284,-0.060276117
Totteridge & Whetstone,4,51.63026513,-0.179247175
Tower Hill,1,51.5101391,-0.076335576
Tufnell Park,2,51.55673669,-0.137907511
Turnham Green,2,51.49518509,-0.254500038
Turnpike Lane,3,51.59036417,-0.102786628
Upminster,6,51.5589594,0.251068748
Upminster Bridge,6,51.55882233,0.235751225
Upney,4,51.53840422,0.101558788
Upton Park,3,51.53530067,0.035269676
Uxbridge,6,51.5465585,-0.478086633
Vauxhall,1,51.48580284,-0.123728675
Victoria,1,51.49641574,-0.143828518
Walthamstow Central,3,51.58302266,-0.01991023
Wanstead,4,51.57558605,0.028739769
Warren Street,1,51.52458249,-0.138254185
Warwick Avenue,2,51.52334544,-0.183649798
Waterloo,1,51.50357644,-0.114051784
Watford,7,51.65747277,-0.417233505
Wembley Central,4,51.55239319,-0.296820887
Wembley Park,4,51.56332139,-0.279220664
West Acton,3,51.51792853,-0.280959813
West Brompton,2,51.48732681,-0.195513643
West Finchley,4,51.60954907,-0.188445598
West Ham,3,51.52825723,0.005040569
West Hampstead,2,51.5467709,-0.19072983
West Harrow,5,51.57983396,-0.352886823
West Kensington,2,51.49056563,-0.206454516
West Ruislip,6,51.56959165,-0.437840503
Westbourne Park,2,51.52099106,-0.200858
Westminster,1,51.50115697,-0.124793827
White City,2,51.51204421,-0.224221914
Whitechapel,2,51.51952926,-0.059968492
Willesden Green,2,51.54937691,-0.222378339
Willesden Junction,2,51.53225984,-0.244259053
Wimbledon,3,51.42146487,-0.206353858
Wimbledon Park,3,51.43453896,-0.199572031
Wood Green,3,51.59753627,-0.109617731
Wood Lane,2,51.50995828,-0.224245427
Woodford,4,51.60709356,0.034027185
Woodside Park,4,51.61787278,-0.185394277
New Cross,2,51.4765,-0.0324
New Cross Gate,2,51.475,-0.0403
Rotherhithe,2,51.5008,-0.0519
Shadwell,2,51.5112,-0.0569
Shoreditch,2,51.5246,-0.0726
Surrey Quays,2,51.4932,-0.0475
Wapping,2,51.5044,-0.056
